"subject" "activityname" "featJerk" "featMag" "featDomain" "featinstrument" "featvariable" "featacceleration" "axis" "value"
28 "SITTING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.444048352198611
29 "SITTING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.6247138711
30 "SITTING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.604582725677419
1 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.331125071143396
2 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.553353059931481
3 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.760089462622951
4 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.784460141785714
5 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.674897987678571
6 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.78938674122807
7 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.72768245490566
8 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.563584113111111
9 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.751590564222222
10 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.808353559568182
11 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.342078694459574
12 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.542163034039344
13 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.735542280175439
14 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.881116534333333
15 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.714879015283019
16 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.688230406794872
17 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.42162048960641
18 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.702202598630137
19 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.735390470547945
20 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.739842052876712
21 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.435438242706742
22 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.80360035015873
23 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.923062171764706
24 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.673326683335652
25 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.871196327837838
26 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.752293446351351
27 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.698095048875
28 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.554430602455696
29 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.498049279293846
30 "STANDING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.684730575084746
1 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.703285193157895
2 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.972176824745763
3 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.594697015775862
4 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.579865943788333
5 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.5714666997125
6 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.594258678596491
7 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.513628490350877
8 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.5635552670625
9 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.536619559038462
10 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.430473901754717
11 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.671006579152542
12 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.8567607126
13 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.83233964322807
14 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.666302351186441
15 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.249088168296296
16 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.675828725490196
17 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.5655094274
18 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.500820234419643
19 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.869127341730769
20 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.496733152009804
21 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.666394606153846
22 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.579774773934783
23 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.624948410491525
24 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.621914267068966
25 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.580102229662162
26 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.669140830847458
27 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.798150747894737
28 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.68723249037037
29 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.952525699811321
30 "WALKING" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.675753941215385
1 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.614380866816327
2 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.938907568085106
3 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.369193480367347
4 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.578693138755556
5 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.665017835319149
6 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.63276919775
7 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.421199077502128
8 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.3855377655
9 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.782406360238095
10 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.578160368947368
11 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.657780826369565
12 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.772100038695652
13 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.977558777446809
14 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.491527002533333
15 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.482059532142857
16 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.664336342553192
17 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.761490153995652
18 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.789165044101818
19 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.692434434871795
20 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.507518688342222
21 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.476815171
22 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.386516549305556
23 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.547735293777778
24 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.613556016109091
25 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.4759633261
26 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.6546702109
27 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.647146125454545
28 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.694254751521739
29 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.884686478541667
30 "WALKING_DOWNSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.69063839016129
1 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.472095228264151
2 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.745874770416667
3 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.538977516628814
4 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.755577418576923
5 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.926480956808511
6 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.615133098098039
7 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.652107407921569
8 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.373243991317073
9 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.752858682040816
10 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.373052056755319
11 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.561431651755556
12 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.768395001153846
13 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.907309298545455
14 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.586833560759259
15 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.539539946875
16 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.579225605445098
17 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.882797946875
18 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.946623098275862
19 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.6743157755
20 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.877965876941176
21 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.517384764319149
22 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.397126251261905
23 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.631220725237255
24 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.550126319262542
25 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.779106667123077
26 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.641446034909091
27 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.657122154313725
28 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.657445318431373
29 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.692403221836735
30 "WALKING_UPSTAIRS" "NA" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.692074947384615
1 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.480535660898
2 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.551101969479167
3 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.630634020196774
4 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.674241371296296
5 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.6596257825
6 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.736496166140351
7 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.663170343076923
8 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.638841751944444
9 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.5245005328
10 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.649801006551724
11 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.461022248561404
12 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.990659436
13 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.504054416154839
14 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.678768095705882
15 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.706274318472222
16 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.525898270204286
17 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.624195904521127
18 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.644060916215385
19 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.528583251669398
20 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.655284933676471
21 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.786841010333333
22 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.68070605125
23 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.777648259305556
24 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.809377786111111
25 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.702287552191781
26 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.764723028947368
27 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.833215158783784
28 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.71584786536375
29 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.984092597391304
30 "LAYING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.5094309
1 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.575842871361702
2 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.354401365586957
3 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.530824692038461
4 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.7509953448
5 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.718958316363636
6 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.608546087272727
7 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.600159554166667
8 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.540181866606522
9 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.7383049324
10 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.601401403518519
11 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.593782575471698
12 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.864117836039216
13 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.720928953265306
14 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.632240380648148
15 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.728087411694915
16 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.353388916201449
17 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.605104393734375
18 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.654006996140351
19 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.682542298013699
20 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.564773103439394
21 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.875339364235294
22 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.645234368774194
23 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.683131375441177
24 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.683757916176471
25 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.5830903334
26 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.760132488717949
27 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.363681732162857
28 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.434741932040278
29 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.64316214346
30 "SITTING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.522641617290323
1 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.217387656515094
2 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.509596869240741
3 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.599350241909836
4 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.692611369464286
5 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.585151574299286
6 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.631548810701754
7 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.632022061698113
8 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.416124187453704
9 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.843645938888889
10 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.883990957272727
11 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.326855181246809
12 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.593744266411475
13 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.748126286842105
14 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.8906287875
15 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.610266008113208
16 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.685442899615385
17 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.275925348215385
18 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.679989588630137
19 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.745131836014384
20 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.662755082630137
21 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.461727125786517
22 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.843462672539683
23 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.920637655294118
24 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.654121343101449
25 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.798035654459459
26 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.712005061081081
27 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.72747288985
28 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.542102750594937
29 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.5165557486
30 "STANDING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.550380570123729
1 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.675052369013684
2 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.986954104745763
3 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.530012921036207
4 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.564924177733333
5 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.523191641033929
6 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.715063935438596
7 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.573102352552632
8 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.517434195250833
9 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.543734766538462
10 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.699000489056604
11 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.635048153186441
12 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.7907513591
13 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.858663186280702
14 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.658510343576271
15 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.117970623944444
16 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.760224556078431
17 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.528754140752459
18 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.526724505589286
19 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.827447582307692
20 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.53332792757451
21 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.686993280769231
22 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.644010619195652
23 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.691718008084746
24 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.687273123355172
25 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.701128369189189
26 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.686533741355932
27 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.702677640738597
28 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.487100326685185
29 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.973878927735849
30 "WALKING" "Jerk" "Magnitude" "Frequence" "Accelerometer" "SD" "Body" "NA" -0.524858651173846
